x, y, z, t, confidence
1054.0, 1054.0, 14.0, 0.0, 0.0
268.0, 1054.0, 4.0, 0.0, 0.098636
0.0, 1052.0, 7.0, 0.0, 0.66141
0.0, 213.0, 15.0, 0.0, 0.7504
198.0, 1055.0, 13.0, 0.0, 0.87633
0.0, 557.0, 6.0, 0.0, 0.88595
175.0, 1055.0, 2.0, 0.0, 0.8876
132.0, 1054.0, 20.0, 0.0, 1.0242
519.0, 0.0, 11.0, 0.0, 1.4096
1055.0, 411.0, 6.0, 0.0, 1.5268
0.0, 464.0, 6.0, 0.0, 1.7008
493.0, 0.0, 11.0, 0.0, 1.9247
59.0, 1011.0, 20.0, 0.0, 2.0953
1055.0, 269.0, 26.0, 0.0, 2.2494
366.0, 32.0, 20.0, 0.0, 2.2804
102.0, 51.0, 29.0, 0.0, 2.34
59.0, 989.0, 15.0, 0.0, 2.697
171.0, 1055.0, 29.0, 0.0, 2.8322
40.0, 644.0, 17.0, 0.0, 2.8982
60.0, 122.0, 29.0, 0.0, 2.9665
48.0, 994.0, 4.0, 0.0, 3.0666
68.0, 451.0, 17.0, 0.0, 3.2045
0.0, 426.0, 15.0, 0.0, 3.2364
70.0, 331.0, 12.0, 0.0, 3.2802
79.0, 1025.0, 4.0, 0.0, 3.31
144.0, 972.0, 29.0, 0.0, 3.3615
83.0, 421.0, 29.0, 0.0, 3.391
100.0, 419.0, 4.0, 0.0, 3.3974
120.0, 91.0, 25.0, 0.0, 3.451
28.0, 519.0, 10.0, 0.0, 3.4594
130.0, 244.0, 29.0, 0.0, 3.5139
34.0, 689.0, 13.0, 0.0, 3.549
0.0, 928.0, 0.0, 0.0, 3.5706
666.0, 621.0, 5.0, 0.0, 3.5952
84.0, 649.0, 9.0, 0.0, 3.7309
333.0, 1054.0, 29.0, 0.0, 3.741
77.0, 213.0, 21.0, 0.0, 3.7556
210.0, 982.0, 25.0, 0.0, 3.7591
104.0, 1010.0, 29.0, 0.0, 3.7996
112.0, 898.0, 11.0, 0.0, 3.8145
201.0, 1033.0, 2.0, 0.0, 3.8524
84.0, 962.0, 29.0, 0.0, 3.9643
22.0, 576.0, 16.0, 0.0, 3.9819
104.0, 141.0, 29.0, 0.0, 4.0266
613.0, 594.0, 22.0, 0.0, 4.0348
241.0, 1024.0, 29.0, 0.0, 4.0656
166.0, 961.0, 24.0, 0.0, 4.0661
17.0, 986.0, 23.0, 0.0, 4.0672
193.0, 898.0, 7.0, 0.0, 4.0745
114.0, 328.0, 29.0, 0.0, 4.1608
65.0, 391.0, 9.0, 0.0, 4.196
644.0, 84.0, 29.0, 0.0, 4.2546
54.0, 452.0, 3.0, 0.0, 4.311
361.0, 1031.0, 22.0, 0.0, 4.3629
114.0, 834.0, 14.0, 0.0, 4.3794
998.0, 1038.0, 29.0, 0.0, 4.3975
56.0, 91.0, 25.0, 0.0, 4.4041
159.0, 478.0, 5.0, 0.0, 4.4135
151.0, 1012.0, 4.0, 0.0, 4.4143
65.0, 915.0, 24.0, 0.0, 4.4226
140.0, 216.0, 7.0, 0.0, 4.4279
533.0, 410.0, 29.0, 0.0, 4.4499
73.0, 274.0, 26.0, 0.0, 4.4601
614.0, 431.0, 28.0, 0.0, 4.5098
147.0, 359.0, 1.0, 0.0, 4.5495
203.0, 948.0, 15.0, 0.0, 4.5554
166.0, 911.0, 9.0, 0.0, 4.5613
250.0, 784.0, 29.0, 0.0, 4.611
112.0, 262.0, 21.0, 0.0, 4.6351
42.0, 786.0, 19.0, 0.0, 4.6608
622.0, 535.0, 22.0, 0.0, 4.7631
20.0, 974.0, 10.0, 0.0, 4.7888
98.0, 525.0, 7.0, 0.0, 4.8147
119.0, 445.0, 11.0, 0.0, 4.8302
179.0, 86.0, 29.0, 0.0, 4.8423
70.0, 378.0, 14.0, 0.0, 4.8518
514.0, 522.0, 5.0, 0.0, 4.855
216.0, 1013.0, 19.0, 0.0, 4.859
867.0, 790.0, 29.0, 0.0, 4.8717
15.0, 947.0, 25.0, 0.0, 4.8741
665.0, 670.0, 7.0, 0.0, 4.8963
192.0, 70.0, 20.0, 0.0, 4.9377
54.0, 822.0, 24.0, 0.0, 5.0149
589.0, 636.0, 25.0, 0.0, 5.0503
138.0, 927.0, 14.0, 0.0, 5.0917
115.0, 338.0, 15.0, 0.0, 5.1696
949.0, 938.0, 29.0, 0.0, 5.248
171.0, 309.0, 29.0, 0.0, 5.2564
675.0, 666.0, 13.0, 0.0, 5.2572
209.0, 1018.0, 12.0, 0.0, 5.2948
309.0, 977.0, 5.0, 0.0, 5.2982
574.0, 715.0, 12.0, 0.0, 5.3448
133.0, 557.0, 28.0, 0.0, 5.4057
130.0, 484.0, 11.0, 0.0, 5.4121
493.0, 918.0, 29.0, 0.0, 5.4235
142.0, 1030.0, 13.0, 0.0, 5.4306
0.0, 225.0, 5.0, 0.0, 5.4307
694.0, 516.0, 29.0, 0.0, 5.4522
142.0, 694.0, 24.0, 0.0, 5.5388
169.0, 423.0, 24.0, 0.0, 5.678
632.0, 398.0, 29.0, 0.0, 5.7324
487.0, 546.0, 4.0, 0.0, 5.7399
401.0, 897.0, 29.0, 0.0, 5.7879
195.0, 464.0, 24.0, 0.0, 5.7893
106.0, 380.0, 20.0, 0.0, 5.7994
522.0, 878.0, 29.0, 0.0, 5.8206
444.0, 553.0, 5.0, 0.0, 5.8941
164.0, 249.0, 24.0, 0.0, 5.9486
201.0, 759.0, 26.0, 0.0, 5.9585
555.0, 510.0, 5.0, 0.0, 6.0166
562.0, 638.0, 21.0, 0.0, 6.0445
465.0, 880.0, 29.0, 0.0, 6.0627
627.0, 431.0, 7.0, 0.0, 6.0917
585.0, 656.0, 16.0, 0.0, 6.1326
238.0, 882.0, 0.0, 0.0, 6.1782
153.0, 835.0, 12.0, 0.0, 6.2564
147.0, 143.0, 23.0, 0.0, 6.3415
